Plotcode;X;Y
FR-ECR-CHA-001;6.376633;45.0367495
FR-ECR-CHA-002;6.372294;45.0408825
FR-ECR-CHA-003;6.362551;45.0481886
FR-ECR-CHA-004;6.359071;45.0516371
FR-ECR-CHA-001;6.376633;45.0367495
FR-ECR-CHA-002;6.372294;45.0408825
FR-ECR-CHA-003;6.362551;45.0481886
FR-ECR-CHA-001;6.376633;45.0367495
FR-ECR-CHA-002;6.372294;45.0408825
FR-ECR-CHA-003;6.362551;45.0481886
FR-ECR-CHA-004;6.359071;45.0516371
FR-ECR-CHA-001;6.376633;45.0367495
FR-ECR-CHA-003;6.362551;45.0481886
FR-ECR-CHA-001;6.376633;45.0367495
FR-ECR-CHA-002;6.372294;45.0408825
FR-ECR-CHA-004;6.359071;45.0516371
FR-ECR-CHA-001;6.376633;45.0367495
